Family	Species_Code	Species_Name	Abundance	Conservation_status	sum_method_25	max_5
Elapidae	A_ant	"Acanthophis antarcticus"	1	LC	r	r
Pygopodidae	A_ina	"Aprasia inaurita"	22	LC	NA	r
Agamidae	A_nor	"Amphibolurus norrisi"	33	LC	NA	NA
Elapidae	B_sem	"Brachyurophis semifasciatus"	30	LC	NA	NA
Scincidae	C_atl	"Ctenotus atlas"	73	LC	NA	NA
Scincidae	C_aust	"Cryptoblepharus australis"	1	LC	r	r
Agamidae	C_cris	"Ctenophorus cristatus"	92	LC	NA	NA
Scincidae	C_euc	"Ctenotus euclae"	246	LC	NA	NA
Agamidae	C_for	"Ctenophorus fordi"	454	LC	NA	NA
Scincidae	C_leae	"Ctenotus leae"	1	LC	r	r
Scincidae	C_mel	"Cyclodomorphus melanops"	2	LC	r	r
Scincidae	C_sch	"Ctenotus schomburgkii"	125	LC	NA	NA
Pygopodidae	D_aus	"Delma australis"	7	EN	NA	r
Pygopodidae	D_but	"Delma butleri"	1	LC	r	r
Gekkonidae	D_dam	"Lucasium damaeum"	100	LC	NA	NA
Pygopodidae	D_fras	"Delma petersoni"	2	LC	r	r
Gekkonidae	D_gran	"Diplodactylus calcicolus"	42	LC	NA	NA
Scincidae	E_in	"Liopholis inornata"	252	LC	NA	NA
Scincidae	E_mult	"Liopholis multiscutata"	2	LC	r	r
Gekkonidae	G_var	"Gehyra variegata"	4	LC	NA	r
Scincidae	H_per	"Hemiergis peronii"	2	LC	r	r
Pygopodidae	L_bur	"Lialis burtonis"	2	LC	r	r
Scincidae	L_dist	"Lerista distinguenda"	50	LC	NA	NA
Scincidae	L_dor	"Lerista dorsalis"	8	LC	NA	r
Scincidae	L_ed	"Lerista edwardsae"	85	LC	NA	NA
Scincidae	L_taen	"Lerista taeniata"	24	LC	NA	NA
Scincidae	M_boul	"Morethia boulengeri"	3	LC	NA	r
Scincidae	M_but	"Morethia butleri"	1	LC	r	r
Scincidae	M_grey	"Menetia greyii"	2	LC	r	r
Agamidae	M_hor	"Moloch horridus"	5	LC	NA	r
Scincidae	M_obs	"Morethia obscura"	24	LC	NA	NA
Gekkonidae	N_stel	"Nephrurus stellatus"	353	LC	NA	NA
Elapidae	P_spec	"Parasuta spectabilis"	1	LC	r	r
Agamidae	Pog	"Pogona spp"	41	NA		NA	NA
Typhlopidae	R_aust	"Ramphotyphlops bicolor"	15	LC	NA	r
Typhlopidae	R_bit	"Ramphotyphlops bituberculatus"	12	LC	NA	r
Gekkonidae	S_ass	"Strophurus assimilis"	6	LC	NA	r
Elapidae	S_ber	"Simoselaps bertholdi"	8	LC	NA	r
Agamidae	T_lin	"Tympanocryptis lineata ssp. lineata"	1	LC	r	r
Scincidae	T_occ	"Tiliqua occipitalis"	2	LC	r	r
Varanidae	V_goul	"Varanus gouldii"	3	LC	NA	r
