method	date	season	site	site_name	obs_level	old_site	location	name
AS	9/11/2009	6	HIM2	HIM2	HIM2_6	HIM2	Hincks	A_ant
AS	11/11/2009	6	HIM2	HIM2	HIM2_6	HIM2	Hincks	A_ant
AS	14/2/2009	5	HI6	HI6	HI6_5	HI6	Hincks	A_ina
AS	9/11/2009	6	HI6	HI6	HI6_6	HI6	Hincks	A_ina
AS	3/2/2010	6	HI6	HI6	HI6_6	HI6	Hincks	A_ina
AS	20/1/2009	5	HIE1	HIE1	HIE1_5	HIE1	Hincks	A_ina
AS	14/2/2009	5	HIE1	HIE1	HIE1_5	HIE1	Hincks	A_ina
AS	7/11/2009	6	HIE1	HIE1	HIE1_6	HIE1	Hincks	A_ina
AS	8/1/2010	6	HIE1	HIE1	HIE1_6	HIE1	Hincks	A_ina
AS	9/1/2010	6	HIE1	HIE1	HIE1_6	HIE1	Hincks	A_ina
AS	16/1/2010	6	HIE1	HIE1	HIE1_6	HIE1	Hincks	A_ina
AS	8/2/2010	6	HIE1	HIE1	HIE1_6	HIE1	Hincks	A_ina
AS	20/1/2009	5	HIE2	HIE2	HIE2_5	HIE2	Hincks	A_ina
AS	14/2/2009	5	HIE2	HIE2	HIE2_5	HIE2	Hincks	A_ina
AS	8/11/2009	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	8/1/2010	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	12/1/2010	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	10/2/2010	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	10/2/2010	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	11/2/2010	6	HIE2	HIE2	HIE2_6	HIE2	Hincks	A_ina
AS	19/1/2009	5	HIM1	HIM1	HIM1_5	HIM1	Hincks	A_ina
AS	10/1/2010	6	HIM2	HIM2	HIM2_6	HIM2	Hincks	A_ina
AS	17/12/2008	5	PE2	PE2	PE2_5	PE2	Pinkawillinie	A_ina
AS	16/12/2009	6	PE2	PE2	PE2_6	PE2	Pinkawillinie	A_ina
AS	23/1/2010	6	PE2	PE2	PE2_6	PE2	Pinkawillinie	A_ina
AS	17/12/2009	6	PL1	PL1	PL1_6	PL1	Pinkawillinie	A_ina
AS	14/1/2009	5	PL2	PL2	PL2_5	PL2	Pinkawillinie	A_ina
AS	14/1/2009	5	PM1	PM1	PM1_5	PM1	Pinkawillinie	A_ina
AS	19/2/2010	6	PM1	PM1	PM1_6	PM1	Pinkawillinie	A_ina
AS	23/11/2008	5	HI6	HI6	HI6_5	HI6	Hincks	A_nor
AS	22/1/2009	5	HI6	HI6	HI6_5	HI6	Hincks	A_nor
