obs	site	season	location	method	fire	TSF	effort	A_ina	A_nor	C_atl	C_euc	C_for	C_sch	D_gran	E_in	L_dist	L_ed	M_obs	N_stel	Pog	B_sem	C_cris	D_dam
HI6_5	HI6	5	Hincks	AS	H66	42.95	450	1	3	5	8	11	6	1	1	0	3	3	0	2	0	0	0
HI6_6	HI6	6	Hincks	AS	H66	43.95	950	2	1	8	13	18	7	2	1	4	15	7	0	1	0	0	0
HI7_5	HI7	5	Hincks	AS	H66	42.95	450	0	3	4	0	1	4	0	0	13	0	0	0	2	0	0	0
HI7_6	HI7	6	Hincks	AS	H66	43.95	950	0	0	14	0	8	6	0	0	20	8	2	0	1	0	0	0
HIE1_5	HIE1	5	Hincks	AS	H06apr	2.67	450	2	0	6	2	22	0	2	1	3	4	2	9	0	0	0	0
HIE1_6	HIE1	6	Hincks	AS	H06apr	3.67	950	5	0	0	12	93	2	5	1	1	15	3	41	5	0	0	0
HIE2_5	HIE2	5	Hincks	AS	H06apr	2.67	450	2	2	3	13	5	0	3	7	2	1	4	13	2	0	0	0
HIE2_6	HIE2	6	Hincks	AS	H06apr	3.67	950	6	5	3	27	44	0	3	3	3	2	5	65	1	0	0	0
HIM1_5	HIM1	5	Hincks	AS	H99	9.92	450	1	6	6	50	54	0	7	21	2	0	0	30	0	0	0	0
HIM1_6	HIM1	6	Hincks	AS	H99	10.92	950	0	16	5	73	120	0	13	68	3	0	1	67	8	0	0	0
HIM2_5	HIM2	5	Hincks	AS	H99	9.92	450	0	4	1	43	52	0	6	14	3	0	0	19	0	0	0	0
HIM2_6	HIM2	6	Hincks	AS	H99	10.92	950	1	6	1	74	104	2	16	45	3	0	2	66	2	0	0	0
PE1_5	PE1	5	Pinkawillinie	AS	P05	3	525	0	0	0	0	3	1	0	6	0	4	0	5	1	1	3	4
PE1_6	PE1	6	Pinkawillinie	AS	P05	4	550	0	0	0	0	4	0	0	12	1	0	0	17	1	1	25	9
