response	Modnames	K	AICc	Delta_AICc	ModelLik	AICcWt	LL	Cum.Wt
Species Richness	null	2	74.6726897108284	0	1	0.945596161459481	-34.7908903099597	0.945596161459481
Species Richness	fire	4	80.5586240854528	5.88593437462443	0.0527090987090217	0.0498415214132398	-34.0570898205042	0.99543768287272
Species Richness	location	5	85.341796092689	10.6691063818606	0.00482206417301507	0.00455972537231434	-33.9208980463445	0.999997408245035
Species Richness	fire x location	7	100.287160965304	25.6144712544752	2.74086874598861e-06	2.59175496527109e-06	-33.8102471493185	1
Simpson's Index	null	2	58.554209956818	0	1	0.482631782242501	-26.7316504329545	0.482631782242501
Simpson's Index	fire	4	59.207479702601	0.653269745782957	0.721347078321202	0.348145026025583	-23.3815176290783	0.830776808268083
Simpson's Index	location	5	60.6529920227785	2.09878206596044	0.350150914558116	0.168993959947025	-21.5764960113892	0.999770768215108
Simpson's Index	fire x location	7	73.8587612238685	15.3045512670504	0.000474962058707487	0.000229231784891562	-20.5960472786009	1
Abund_25	null	2	50.3846378035055	0	1	0.573401113580875	-22.6468643562982	0.573401113580875
Abund_25	location	5	51.8074894522433	1.42285164873785	0.490943698696165	0.281507663537894	-17.1537447261217	0.854908777118769
Abund_25	fire	4	53.1494475624996	2.76480975899415	0.250974263868183	0.143908922382156	-20.3525015590276	0.998817699500925
Abund_25	fire x location	7	62.7528845625153	12.3682467590099	0.0020619082716659	0.00118230049907485	-15.0431089479243	1
Abund_5	null	2	67.6918476029215	0	1	0.955693976063219	-31.3004692560062	0.955693976063219
Abund_5	fire	4	74.0382694010105	6.34642179808908	0.0418689448853815	0.040013898411082	-30.796912478283	0.995707874474301
Abund_5	location	5	78.5050429403782	10.8131953374567	0.00448688012358864	0.00428808430543145	-30.5025214701891	0.999995958779732
Abund_5	fire x location	7	92.4391402813296	24.7472926784081	4.22857145599592e-06	4.04122026784818e-06	-29.8862368073314	1
Shannon's Index	location	5	1.81593916658836	0	1	0.635412656672925	7.84203041670582	0.635412656672925
Shannon's Index	fire	4	3.689209917388	1.87327075079964	0.391944364954815	0.249046410203921	4.37761726352822	0.884459066876846
Shannon's Index	null	2	5.25730428561437	3.44136511902601	0.17894396631163	0.113703261029663	-0.0831975973526382	0.998162327906509
Shannon's Index	fire x location	7	13.507489240222	11.6915500736336	0.0028920923657916	0.00183767209349113	9.57958871322236	1
Evenness	fire	4	-27.7248850973593	0	1	0.363917500103895	20.0846647709019	0.363917500103895
Evenness	location	5	-27.4658757833129	0.259009314046494	0.878530497069771	0.319712622258664	22.4829378916564	0.683630122362559
Evenness	null	2	-27.4354181690374	0.289466928321989	0.865252883282301	0.314880666241783	16.2631636299732	0.998510788604342
Evenness	fire x location	7	-16.7275241399718	10.9973609573875	0.00409216757982967	0.00148921139565782	24.6970954033193	1
